source (BB CAN DBC),library id,duplicate of,status
dbcs/dbcs/cloud/river1/661dc741-ba50-47e5-8bd8-22096637b5af.dbc,VCU_Vehicle/River/river1__661dc741.dbc,,imported
dbcs/dbcs/cloud/riveriotdevice/111e7122-5a7a-4d1f-9f27-6345b2099aec.dbc,VCU_Vehicle/River/riveriotdevice__111e7122.dbc,,imported
dbcs/dbcs/cloud/riveriotdevice/36410223-7daf-4f0b-9cca-08646dbe4b74.dbc,VCU_Vehicle/River/riveriotdevice__36410223.dbc,,imported
dbcs/dbcs/cloud/riveriotdevice/6752a451-7729-4551-8015-02b38e3029ae.dbc,VCU_Vehicle/River/riveriotdevice__6752a451.dbc,,imported
dbcs/dbcs/cloud/riveriotdevice/a5277bb3-c11b-4cec-aadb-5015ce6157ea.dbc,VCU_Vehicle/River/riveriotdevice__a5277bb3.dbc,,imported
LXG2_BCM_export.dbc,VCU_Vehicle/Royal_Enfield/LXG2_BCM_export.dbc,,imported
LXGv2_VCU_DASH_TCU.dbc,VCU_Vehicle/Royal_Enfield/LXGv2_VCU_DASH_TCU.dbc,,imported
lxg2_bcm_export.dbc,VCU_Vehicle/Royal_Enfield/lxg2_bcm_export_2.dbc,,imported
lxg2_bcm_export_converted_utf8.dbc,VCU_Vehicle/Royal_Enfield/lxg2_bcm_export_converted_utf8.dbc,,imported
lxgv2_vcu_dash_tcu.dbc,VCU_Vehicle/Royal_Enfield/lxgv2_vcu_dash_tcu_2.dbc,,imported
dbcs/dbcs/simple/bytebeam/3cd6ad8b-ea00-4140-9096-39230c2ec1cb.dbc,VCU_Vehicle/Simple_Energy/bytebeam__3cd6ad8b.dbc,,imported
dbcs/dbcs/simple/bytebeam/3d262658-fa89-4c04-aeee-92d5f51c5a0a.dbc,VCU_Vehicle/Simple_Energy/bytebeam__3d262658.dbc,,imported
simpleenergy.dbc,VCU_Vehicle/Simple_Energy/simpleenergy.dbc,,imported
dbcs/dbcs/cloud/vdlpinnacle/b23c89d6-ecfd-40d4-8b9f-a5d679078bf5.dbc,VCU_Vehicle/VDL_Pinnacle/vdlpinnacle__b23c89d6.dbc,,imported
dbcs/dbcs/cloud/ebiketest/d1f3cdf3-e2c1-479d-825c-f779dbccbe77.dbc,VCU_Vehicle/eBike_Test/ebiketest__d1f3cdf3.dbc,,imported
